State,Year,Biodiesel,CNG,E85,Electric Stations,Electric Charging Outlets,Electric Total,Hydrogen Retail,Hydrogen Non-Retail,Hydrogen Total,LNG,Propane Primary,Propane Secondary,Propane Total,Total
Alabama,2023,9.0,28.0,34.0,424.0,1096.0,1520.0,0.0,0.0,0.0,2.0,25.0,36.0,61.0,1230.0
Alaska,2023,0.0,0.0,0.0,65.0,124.0,189.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,125.0
Arizona,2023,77.0,26.0,21.0,1198.0,3506.0,4704.0,0.0,0.0,0.0,5.0,42.0,30.0,72.0,3707.0
Arkansas,2023,34.0,14.0,74.0,334.0,833.0,1167.0,0.0,0.0,0.0,0.0,17.0,17.0,34.0,989.0
California,2023,48.0,292.0,369.0,16381.0,49433.0,65814.0,57.0,7.0,64.0,39.0,136.0,119.0,255.0,51097.0
Colorado,2023,5.0,25.0,95.0,2165.0,5432.0,7597.0,0.0,1.0,1.0,1.0,28.0,26.0,54.0,5613.0
Connecticut,2023,1.0,13.0,3.0,865.0,2547.0,3412.0,0.0,0.0,0.0,0.0,5.0,15.0,20.0,2584.0
Delaware,2023,0.0,3.0,2.0,197.0,523.0,720.0,0.0,1.0,1.0,0.0,7.0,12.0,19.0,548.0
District of Columbia,2023,9.0,2.0,4.0,369.0,1158.0,1527.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1179.0
Florida,2023,5.0,64.0,150.0,3430.0,9763.0,13193.0,0.0,0.0,0.0,3.0,74.0,52.0,126.0,10111.0
Georgia,2023,3.0,49.0,73.0,1886.0,4994.0,6880.0,0.0,0.0,0.0,3.0,36.0,48.0,84.0,5206.0
Hawaii,2023,11.0,0.0,1.0,384.0,860.0,1244.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,875.0
Idaho,2023,0.0,11.0,4.0,205.0,517.0,722.0,0.0,0.0,0.0,0.0,9.0,12.0,21.0,554.0
Illinois,2023,474.0,38.0,286.0,1337.0,3510.0,4847.0,0.0,0.0,0.0,2.0,43.0,44.0,87.0,4397.0
Indiana,2023,34.0,32.0,240.0,565.0,1533.0,2098.0,0.0,0.0,0.0,1.0,27.0,21.0,48.0,1888.0
Iowa,2023,327.0,9.0,342.0,371.0,855.0,1226.0,0.0,0.0,0.0,0.0,26.0,8.0,34.0,1567.0
Kansas,2023,21.0,21.0,67.0,547.0,1196.0,1743.0,0.0,0.0,0.0,1.0,8.0,27.0,35.0,1341.0
Kentucky,2023,1.0,8.0,76.0,328.0,849.0,1177.0,0.0,0.0,0.0,1.0,7.0,13.0,20.0,955.0
Louisiana,2023,1.0,18.0,19.0,265.0,709.0,974.0,0.0,0.0,0.0,1.0,13.0,36.0,49.0,797.0
Maine,2023,1.0,2.0,0.0,486.0,1084.0,1570.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,1096.0
Maryland,2023,25.0,13.0,61.0,1726.0,5022.0,6748.0,0.0,0.0,0.0,0.0,20.0,15.0,35.0,5156.0
Massachusetts,2023,1.0,12.0,6.0,2965.0,7032.0,9997.0,0.0,1.0,1.0,0.0,20.0,10.0,30.0,7082.0
Michigan,2023,7.0,13.0,243.0,1447.0,3352.0,4799.0,0.0,2.0,2.0,0.0,61.0,60.0,121.0,3738.0
Minnesota,2023,274.0,19.0,415.0,773.0,1995.0,2768.0,0.0,0.0,0.0,0.0,29.0,19.0,48.0,2751.0
Mississippi,2023,1.0,4.0,6.0,163.0,551.0,714.0,0.0,0.0,0.0,2.0,37.0,34.0,71.0,635.0
Missouri,2023,24.0,18.0,135.0,1240.0,2703.0,3943.0,0.0,0.0,0.0,1.0,29.0,26.0,55.0,2936.0
Montana,2023,0.0,1.0,0.0,126.0,347.0,473.0,0.0,0.0,0.0,0.0,16.0,11.0,27.0,375.0
Nebraska,2023,14.0,6.0,119.0,260.0,554.0,814.0,0.0,0.0,0.0,0.0,11.0,13.0,24.0,717.0
Nevada,2023,2.0,5.0,20.0,596.0,1987.0,2583.0,0.0,0.0,0.0,0.0,14.0,9.0,23.0,2037.0
New Hampshire,2023,2.0,4.0,0.0,261.0,597.0,858.0,0.0,0.0,0.0,0.0,5.0,14.0,19.0,622.0
New Jersey,2023,5.0,28.0,7.0,1299.0,3723.0,5022.0,0.0,0.0,0.0,0.0,9.0,7.0,16.0,3779.0
New Mexico,2023,0.0,13.0,17.0,278.0,695.0,973.0,0.0,0.0,0.0,1.0,44.0,16.0,60.0,786.0
New York,2023,13.0,46.0,75.0,3898.0,11114.0,15012.0,0.0,1.0,1.0,0.0,19.0,30.0,49.0,11298.0
North Carolina,2023,108.0,31.0,104.0,1595.0,4204.0,5799.0,0.0,0.0,0.0,1.0,27.0,47.0,74.0,4522.0
North Dakota,2023,0.0,1.0,38.0,98.0,209.0,307.0,0.0,0.0,0.0,0.0,4.0,12.0,16.0,264.0
Ohio,2023,4.0,50.0,217.0,1586.0,3653.0,5239.0,0.0,2.0,2.0,4.0,59.0,52.0,111.0,4041.0
Oklahoma,2023,18.0,101.0,98.0,358.0,1363.0,1721.0,0.0,0.0,0.0,0.0,31.0,78.0,109.0,1689.0
Oregon,2023,30.0,13.0,5.0,1263.0,3190.0,4453.0,0.0,0.0,0.0,1.0,30.0,14.0,44.0,3290.0
Pennsylvania,2023,4.0,83.0,172.0,1712.0,4293.0,6005.0,0.0,0.0,0.0,2.0,49.0,44.0,93.0,4647.0
Rhode Island,2023,1.0,1.0,0.0,317.0,817.0,1134.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,824.0
South Carolina,2023,33.0,13.0,58.0,559.0,1374.0,1933.0,0.0,0.0,0.0,1.0,25.0,17.0,42.0,1521.0
South Dakota,2023,0.0,0.0,81.0,98.0,232.0,330.0,0.0,0.0,0.0,0.0,4.0,11.0,15.0,328.0
Tennessee,2023,5.0,22.0,90.0,918.0,2225.0,3143.0,0.0,0.0,0.0,4.0,28.0,26.0,54.0,2400.0
Texas,2023,10.0,93.0,265.0,3104.0,8637.0,11741.0,0.0,0.0,0.0,15.0,177.0,179.0,356.0,9376.0
Utah,2023,1.0,41.0,0.0,893.0,2185.0,3078.0,0.0,0.0,0.0,0.0,20.0,19.0,39.0,2266.0
Vermont,2023,2.0,3.0,0.0,381.0,978.0,1359.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,985.0
Virginia,2023,7.0,24.0,84.0,1562.0,4565.0,6127.0,0.0,1.0,1.0,1.0,41.0,36.0,77.0,4759.0
Washington,2023,24.0,23.0,13.0,2202.0,5817.0,8019.0,0.0,1.0,1.0,1.0,49.0,21.0,70.0,5949.0
West Virginia,2023,1.0,3.0,36.0,155.0,446.0,601.0,0.0,0.0,0.0,0.0,6.0,9.0,15.0,501.0
Wisconsin,2023,23.0,46.0,262.0,577.0,1398.0,1975.0,0.0,0.0,0.0,1.0,21.0,40.0,61.0,1791.0
Wyoming,2023,0.0,7.0,8.0,103.0,252.0,355.0,0.0,0.0,0.0,0.0,6.0,10.0,16.0,284.0
Total,2023,1700.0,1392.0,4495.0,64315.0,176032.0,240347.0,58.0,18.0,76.0,94.0,1401.0,1412.0,2813.0,187208.0
Alabama,2022,10.0,28.0,31.0,327.0,851.0,1178.0,0.0,0.0,0.0,2.0,29.0,33.0,62.0,984.0
Alaska,2022,0.0,1.0,0.0,61.0,113.0,174.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,116.0
Arizona,2022,76.0,28.0,18.0,984.0,2661.0,3645.0,0.0,1.0,1.0,5.0,38.0,27.0,65.0,2854.0
Arkansas,2022,17.0,11.0,74.0,218.0,590.0,808.0,0.0,0.0,0.0,0.0,17.0,19.0,36.0,728.0
California,2022,33.0,312.0,331.0,14609.0,43589.0,58198.0,51.0,6.0,57.0,40.0,128.0,118.0,246.0,44608.0
Colorado,2022,5.0,27.0,95.0,1787.0,4408.0,6195.0,0.0,1.0,1.0,1.0,27.0,22.0,49.0,4586.0
Connecticut,2022,1.0,13.0,3.0,598.0,1643.0,2241.0,0.0,0.0,0.0,0.0,8.0,10.0,18.0,1678.0
Delaware,2022,0.0,2.0,2.0,156.0,367.0,523.0,0.0,1.0,1.0,0.0,7.0,12.0,19.0,391.0
District of Columbia,2022,9.0,3.0,4.0,301.0,972.0,1273.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,994.0
Florida,2022,5.0,52.0,144.0,2923.0,7818.0,10741.0,0.0,0.0,0.0,3.0,74.0,51.0,125.0,8147.0
Georgia,2022,3.0,42.0,59.0,1552.0,4131.0,5683.0,0.0,0.0,0.0,4.0,43.0,37.0,80.0,4319.0
Hawaii,2022,11.0,0.0,1.0,405.0,938.0,1343.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,953.0
Idaho,2022,0.0,11.0,4.0,155.0,382.0,537.0,0.0,0.0,0.0,0.0,10.0,12.0,22.0,419.0
Illinois,2022,111.0,36.0,294.0,1342.0,3351.0,4693.0,0.0,0.0,0.0,2.0,41.0,44.0,85.0,3879.0
Indiana,2022,14.0,20.0,240.0,404.0,1093.0,1497.0,0.0,0.0,0.0,1.0,25.0,23.0,48.0,1416.0
Iowa,2022,272.0,9.0,346.0,305.0,659.0,964.0,0.0,0.0,0.0,0.0,25.0,9.0,34.0,1320.0
Kansas,2022,11.0,19.0,73.0,489.0,1045.0,1534.0,0.0,0.0,0.0,1.0,9.0,27.0,36.0,1185.0
Kentucky,2022,1.0,7.0,73.0,256.0,629.0,885.0,0.0,0.0,0.0,1.0,4.0,15.0,19.0,730.0
Louisiana,2022,1.0,20.0,18.0,193.0,475.0,668.0,0.0,0.0,0.0,1.0,12.0,36.0,48.0,563.0
Maine,2022,1.0,2.0,1.0,412.0,869.0,1281.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,881.0
Maryland,2022,24.0,15.0,55.0,1384.0,3964.0,5348.0,0.0,0.0,0.0,0.0,18.0,15.0,33.0,4091.0
Massachusetts,2022,1.0,13.0,7.0,2406.0,5748.0,8154.0,0.0,2.0,2.0,0.0,20.0,10.0,30.0,5801.0
