Station Counts by State and Fuel Type,,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald
,,,,(stations / charging outlets,(retail / non-retail / total),,(primary / secondary / total),,
,,,,Level 1 / Level 2 / DC Fast),,,,,
Alabama,5,29,31,105 | 211,0 | 1 | 1,2,23 | 81 | 104,0,383
,,,,38 | 146 | 27,,,,,
Alaska,0,1,0,2 | 3,0 | 0 | 0,0,2 | 5 | 7,0,11
,,,,0 | 3 | 0,,,,,
Arizona,76,38,30,355 | 854,0 | 0 | 0,8,58 | 35 | 93,0,"1,099"
,,,,6 | 737 | 111,,,,,
Arkansas,4,16,47,44 | 65,0 | 0 | 0,0,13 | 37 | 50,0,182
,,,,7 | 58 | 0,,,,,
California,62,306,107,"3,473 | 10,252",0 | 18 | 18,47,222 | 148 | 370,0,"11,162"
,,,,"936 | 8,349 | 967",,,,,
Colorado,16,43,89,328 | 723,0 | 2 | 2,1,31 | 27 | 58,0,932
,,,,61 | 581 | 81,,,,,
Connecticut,3,17,4,243 | 493,0 | 1 | 1,1,9 | 12 | 21,0,540
,,,,44 | 402 | 47,,,,,
Delaware,1,1,1,28 | 55,0 | 1 | 1,0,7 | 1 | 8,0,67
,,,,4 | 46 | 5,,,,,
District of Columbia,7,2,3,88 | 250,0 | 0 | 0,0,0 | 0 | 0,0,262
,,,,55 | 190 | 5,,,,,
Florida,17,51,74,"733 | 1,713",0 | 0 | 0,1,101 | 52 | 153,0,"2,009"
,,,,"289 | 1,274 | 150",,,,,
Georgia,23,37,58,"494 | 1,176",0 | 0 | 0,3,41 | 46 | 87,0,"1,384"
,,,,102 | 917 | 157,,,,,
Hawaii,8,1,3,216 | 492,0 | 2 | 2,0,2 | 2 | 4,0,510
,,,,25 | 429 | 38,,,,,
Idaho,3,10,7,31 | 68,0 | 0 | 0,8,15 | 18 | 33,0,129
,,,,0 | 45 | 23,,,,,
Illinois,11,50,247,473 | 943,0 | 1 | 1,1,67 | 60 | 127,0,"1,380"
,,,,53 | 783 | 107,,,,,
Indiana,7,32,194,158 | 307,0 | 0 | 0,1,29 | 161 | 190,0,731
,,,,11 | 242 | 54,,,,,
Iowa,10,10,214,85 | 156,0 | 0 | 0,0,8 | 25 | 33,0,423
,,,,31 | 117 | 8,,,,,
Kansas,5,16,26,158 | 551,0 | 0 | 0,1,20 | 21 | 41,0,640
,,,,7 | 506 | 38,,,,,
Kentucky,4,8,68,48 | 98,0 | 0 | 0,1,9 | 41 | 50,0,229
,,,,16 | 67 | 15,,,,,
Louisiana,2,24,9,48 | 82,0 | 0 | 0,2,16 | 27 | 43,0,162
,,,,8 | 62 | 12,,,,,
