State,BD,CNG,E85,ELEC,HY,LNG,LPG,RD
AK,0,0,0,67,0,0,1,0
AL,10,30,37,463,0,3,61,0
AR,35,14,74,342,0,0,34,0
AZ,77,27,21,1322,0,5,72,0
CA,48,302,374,17905,93,40,253,601
CO,5,27,95,2403,1,2,54,0
CT,1,13,3,1017,2,0,20,0
DC,9,2,4,438,0,0,6,0
DE,0,3,2,233,0,0,19,0
FL,5,59,151,3731,0,3,126,0
GA,3,49,73,2239,0,5,84,0
HI,11,0,1,427,2,0,1,0
IA,344,10,341,403,0,1,34,0
ID,0,11,4,223,0,0,21,1
IL,483,31,289,1426,0,2,87,0
IN,36,32,241,627,0,3,48,0
KS,23,20,68,588,0,2,35,0
KY,1,7,76,326,0,1,20,0
LA,1,21,19,295,0,3,49,0
MA,1,12,6,3305,1,0,30,0
MD,25,13,61,1923,0,1,35,0
ME,1,2,0,513,0,0,9,0
MI,7,14,246,1564,2,0,121,0
MN,276,20,419,835,0,0,48,0
MO,27,18,138,1351,0,3,56,0
MS,1,5,6,176,0,2,71,0
MT,0,1,0,134,0,0,27,1
NC,108,31,106,1731,0,2,74,0
ND,0,1,38,101,0,0,16,0
NE,16,6,119,276,0,1,24,0
NH,2,4,0,277,0,0,19,0
NJ,5,28,7,1452,0,0,16,0
NM,0,13,17,321,0,2,60,0
NV,2,5,20,647,0,0,23,0
NY,13,46,76,4351,1,0,48,0
OH,4,50,217,1732,4,5,111,0
OK,18,103,98,386,0,1,110,0
OR,30,13,5,1380,0,1,44,7
PA,4,77,172,1923,1,2,93,0
PR,0,0,0,18,0,0,0,0
RI,1,1,0,383,0,0,5,0
SC,33,13,58,637,0,2,43,0
SD,0,0,81,104,0,0,15,0
TN,5,22,90,1005,0,5,54,0
TX,10,96,271,3613,1,18,360,0
UT,1,41,0,969,0,1,39,0
VA,7,24,84,1713,1,1,78,0
VT,2,3,0,415,0,0,2,0
WA,24,24,13,2505,1,1,71,0
WI,23,46,262,647,0,1,61,0
WV,1,3,36,167,0,0,15,0
WY,0,7,8,114,0,2,16,1
