State,Year,Biodiesel,CNG,E85,Electric Stations,Electric Charging Outlets,Electric Total,Hydrogen Retail,Hydrogen Non-Retail,Hydrogen Total,LNG,Propane Primary,Propane Secondary,Propane Total,Total
Alabama,2019,10.0,27.0,34.0,195.0,506.0,701.0,0.0,0.0,0.0,2.0,25.0,47.0,72.0,651.0
Alaska,2019,0.0,1.0,0.0,19.0,34.0,53.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,40.0
Arizona,2019,78.0,30.0,22.0,522.0,1476.0,1998.0,0.0,1.0,1.0,8.0,24.0,51.0,75.0,1690.0
Arkansas,2019,3.0,16.0,47.0,98.0,290.0,388.0,0.0,0.0,0.0,1.0,7.0,30.0,37.0,394.0
California,2019,29.0,321.0,195.0,6439.0,27199.0,33638.0,43.0,5.0,48.0,44.0,70.0,203.0,273.0,28109.0
Colorado,2019,8.0,35.0,84.0,861.0,2516.0,3377.0,0.0,1.0,1.0,1.0,12.0,40.0,52.0,2697.0
Connecticut,2019,2.0,17.0,3.0,422.0,1048.0,1470.0,0.0,2.0,2.0,0.0,10.0,11.0,21.0,1093.0
Delaware,2019,1.0,2.0,1.0,57.0,172.0,229.0,0.0,1.0,1.0,0.0,3.0,6.0,9.0,186.0
District of Columbia,2019,7.0,2.0,3.0,172.0,553.0,725.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,566.0
Florida,2019,10.0,61.0,88.0,1562.0,4562.0,6124.0,0.0,0.0,0.0,3.0,19.0,115.0,134.0,4858.0
Georgia,2019,6.0,50.0,52.0,882.0,2939.0,3821.0,0.0,0.0,0.0,4.0,29.0,60.0,89.0,3140.0
Hawaii,2019,7.0,0.0,2.0,296.0,666.0,962.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,680.0
Idaho,2019,0.0,11.0,4.0,95.0,216.0,311.0,0.0,0.0,0.0,0.0,8.0,22.0,30.0,261.0
Illinois,2019,19.0,42.0,279.0,663.0,1864.0,2527.0,0.0,0.0,0.0,2.0,34.0,66.0,100.0,2306.0
Indiana,2019,3.0,34.0,221.0,239.0,614.0,853.0,0.0,0.0,0.0,1.0,19.0,46.0,65.0,938.0
Iowa,2019,11.0,11.0,300.0,141.0,348.0,489.0,0.0,0.0,0.0,0.0,9.0,25.0,34.0,704.0
Kansas,2019,1.0,21.0,38.0,234.0,904.0,1138.0,0.0,0.0,0.0,1.0,3.0,34.0,37.0,1002.0
Kentucky,2019,3.0,10.0,71.0,133.0,315.0,448.0,0.0,0.0,0.0,2.0,4.0,28.0,32.0,433.0
Louisiana,2019,2.0,23.0,14.0,107.0,293.0,400.0,0.0,0.0,0.0,1.0,7.0,52.0,59.0,392.0
Maine,2019,4.0,1.0,1.0,184.0,433.0,617.0,0.0,0.0,0.0,0.0,3.0,10.0,13.0,452.0
Maryland,2019,11.0,13.0,39.0,738.0,2110.0,2848.0,0.0,0.0,0.0,0.0,7.0,24.0,31.0,2204.0
Massachusetts,2019,10.0,15.0,6.0,811.0,2455.0,3266.0,0.0,2.0,2.0,1.0,9.0,23.0,32.0,2521.0
Michigan,2019,9.0,21.0,241.0,616.0,1429.0,2045.0,0.0,2.0,2.0,0.0,26.0,74.0,100.0,1802.0
Minnesota,2019,16.0,26.0,430.0,380.0,1051.0,1431.0,0.0,0.0,0.0,0.0,17.0,30.0,47.0,1570.0
Mississippi,2019,2.0,6.0,6.0,81.0,292.0,373.0,0.0,0.0,0.0,2.0,12.0,71.0,83.0,391.0
Missouri,2019,2.0,20.0,111.0,452.0,1895.0,2347.0,0.0,0.0,0.0,1.0,16.0,57.0,73.0,2102.0
Montana,2019,3.0,1.0,1.0,55.0,137.0,192.0,0.0,0.0,0.0,0.0,10.0,31.0,41.0,183.0
Nebraska,2019,3.0,8.0,97.0,95.0,238.0,333.0,0.0,0.0,0.0,1.0,4.0,24.0,28.0,375.0
Nevada,2019,2.0,6.0,12.0,284.0,927.0,1211.0,0.0,0.0,0.0,1.0,5.0,23.0,28.0,976.0
New Hampshire,2019,2.0,4.0,0.0,121.0,244.0,365.0,0.0,0.0,0.0,0.0,7.0,20.0,27.0,277.0
New Jersey,2019,4.0,27.0,6.0,457.0,1297.0,1754.0,0.0,0.0,0.0,0.0,4.0,13.0,17.0,1351.0
New Mexico,2019,3.0,11.0,14.0,82.0,245.0,327.0,0.0,0.0,0.0,1.0,33.0,29.0,62.0,336.0
New York,2019,34.0,69.0,71.0,1655.0,4531.0,6186.0,0.0,1.0,1.0,0.0,16.0,43.0,59.0,4765.0
North Carolina,2019,114.0,40.0,89.0,732.0,1903.0,2635.0,0.0,0.0,0.0,2.0,12.0,63.0,75.0,2223.0
North Dakota,2019,2.0,1.0,41.0,28.0,46.0,74.0,0.0,0.0,0.0,0.0,5.0,19.0,24.0,114.0
Ohio,2019,13.0,60.0,180.0,544.0,1443.0,1987.0,0.0,1.0,1.0,5.0,18.0,72.0,90.0,1792.0
Oklahoma,2019,3.0,118.0,56.0,131.0,309.0,440.0,0.0,0.0,0.0,1.0,23.0,107.0,130.0,617.0
Oregon,2019,47.0,16.0,9.0,722.0,1895.0,2617.0,0.0,0.0,0.0,2.0,25.0,32.0,57.0,2026.0
Pennsylvania,2019,5.0,88.0,125.0,572.0,1475.0,2047.0,0.0,0.0,0.0,3.0,15.0,92.0,107.0,1803.0
Rhode Island,2019,5.0,4.0,0.0,113.0,407.0,520.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,420.0
South Carolina,2019,34.0,12.0,53.0,286.0,643.0,929.0,0.0,1.0,1.0,1.0,11.0,48.0,59.0,803.0
South Dakota,2019,0.0,0.0,83.0,41.0,127.0,168.0,0.0,0.0,0.0,0.0,6.0,17.0,23.0,233.0
Tennessee,2019,8.0,24.0,73.0,453.0,1207.0,1660.0,0.0,0.0,0.0,4.0,9.0,56.0,65.0,1381.0
Texas,2019,23.0,108.0,232.0,1376.0,4009.0,5385.0,0.0,0.0,0.0,16.0,138.0,322.0,460.0,4848.0
Utah,2019,0.0,51.0,2.0,289.0,950.0,1239.0,0.0,0.0,0.0,2.0,17.0,22.0,39.0,1044.0
Vermont,2019,2.0,3.0,0.0,237.0,664.0,901.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,670.0
Virginia,2019,10.0,24.0,58.0,710.0,2056.0,2766.0,0.0,0.0,0.0,2.0,10.0,78.0,88.0,2238.0
Washington,2019,37.0,24.0,20.0,1095.0,3206.0,4301.0,0.0,1.0,1.0,1.0,29.0,53.0,82.0,3371.0
West Virginia,2019,0.0,3.0,34.0,89.0,244.0,333.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,295.0
Wisconsin,2019,4.0,50.0,227.0,345.0,711.0,1056.0,0.0,0.0,0.0,1.0,13.0,53.0,66.0,1059.0
Wyoming,2019,0.0,8.0,11.0,57.0,159.0,216.0,0.0,0.0,0.0,0.0,6.0,19.0,25.0,203.0
